Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,FC máxima,TE aeróbico,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potencia media,Potencia máxima,Pasos,Descarga de Body Battery,Temperatura mínima,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Ritmo respiratorio medio,Ritmo mínimo de respiración,Ritmo máximo de respiración,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Carrera,2026-04-30 13:36:56,false,Easy Run,10.02,,00:57:50,150,171,,,,5:05,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-28 19:41:08,false,Easy Run,8.73,,00:43:04,159,171,,,,4:56,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-25 18:00:30,false,Race – Volta a Peu,5.03,,00:19:43,186,205,,,,3:55,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-23 12:48:10,false,Easy Run – Calma,10.01,,00:59:51,154,189,,,,5:37,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-22 09:23:53,false,Intervals – 5x1km,8.32,,00:55:23,154,188,,,,4:56,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-21 09:06:49,false,Easy Run – Relajadooo,7.62,,00:45:51,132,150,,,,6:01,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-20 19:54:03,false,Easy Run – Z2 60’,10.63,,01:03:16,134,153,,,,5:48,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-18 09:02:23,false,Easy Run – Parkrun en Buckingham,5.01,,00:21:15,179,189,,,,4:14,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-18 08:34:15,false,Easy Run – Morning Run,2.37,,00:13:16,138,150,,,,5:35,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-16 16:50:17,false,Easy Run – En Casa En Buckingham,9.21,,00:45:12,164,184,,,,4:53,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-14 18:05:04,false,Easy Run – Una Hora Tranquila,11.39,,01:00:55,154,175,,,,5:17,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrera,2026-04-12 09:00:36,false,Race – 10K Marca Personal | Carrera de Empresas,10.07,767,00:41:27,178,191,5.0,176,188,4:07,3:41,21,20,1.38,6.9,9.5,232,4:07,467,0.0,465,573,"7,256",-22,21.0,No,00:00:15.1,11,25.0,00:41:24,00:41:27,22,33
Carrera,2026-04-11 14:35:27,false,Easy Run,7.32,532,00:38:49,134,156,2.8,162,196,5:18,3:06,19,17,1.15,8.0,9.1,262,5:19,363,0.0,359,646,"6,322",-11,27.0,No,00:00:06.6,17,29.0,00:38:29,00:46:31,20,30
Carrera,2026-04-10 08:59:07,false,Recovery Run,7.02,571,00:40:13,139,158,3.1,173,182,5:44,4:55,9,11,1.00,8.3,8.4,264,5:45,331,0.0,330,406,"6,946",-12,22.0,No,00:00:07.4,8,26.0,00:40:10,00:40:13,3,11
Carrera,2026-04-07 19:40:28,false,Easy Run – Rodaje 60’,11.70,953,01:00:00,157,187,4.1,171,181,5:08,4:12,18,12,1.14,7.9,9.0,258,5:07,378,0.0,376,511,"10,294",-14,20.0,No,01:00:00,1,25.0,00:59:58,01:00:50,5,20
Carrera,2026-04-03 18:19:31,false,Progressive Run,15.01,"1,181",01:13:21,160,186,5.0,170,180,4:53,3:54,41,46,1.20,7.7,9.1,253,4:54,402,0.0,399,566,"12,530",-14,23.0,No,00:00:04.2,16,27.0,01:12:55,01:19:15,5,30
Carrera,2026-03-28 12:05:56,false,Intervals – 6x1km,9.02,710,00:42:25,163,189,4.4,164,188,4:42,3:27,15,17,1.26,7.2,8.8,243,4:43,438,0.0,399,598,"7,046",-14,24.0,No,00:01:30,14,26.0,--,--,--,00:41:42,00:42:25,10,21
Carrera,2026-03-26 18:40:13,false,Easy Run,10.01,780,00:51:34,148,163,3.7,171,182,5:09,3:59,18,15,1.13,7.9,9.0,259,5:09,380,0.0,377,549,"8,824",-11,18.0,No,00:00:06.6,11,22.0,--,--,--,00:51:30,00:51:34,6,19
Carrera,2026-03-25 18:33:15,false,Tempo Run,11.19,813,00:53:02,153,187,4.1,169,182,4:44,3:55,30,30,1.23,7.6,9.3,251,4:45,409,0.0,405,571,"9,024",-13,22.0,No,00:00:51.1,12,27.0,--,--,--,00:52:47,00:57:29,5,23
Carrera,2026-03-22 09:00:00,true,Race – 10K Pas Ras 10km | 42:15,10.00,712,00:41:34,166,192,4.5,176,192,4:09,3:26,3,4,1.36,6.9,9.4,232,4:09,458,0.0,457,558,"7,300",-16,17.0,No,00:00:03.0,11,22.0,--,--,--,00:41:30,00:42:36,1,5
Carrera,2026-03-17 19:36:59,false,Intervals – 10x1',6.67,529,00:33:01,158,189,3.6,166,195,4:57,3:18,12,10,1.20,7.5,8.8,245,4:50,421,0.0,386,575,"5,552",-9,21.0,No,00:00:59.6,23,26.0,--,--,--,00:32:46,00:34:36,14,19
Carrera,2026-03-16 19:55:47,false,Easy Run,6.13,469,00:31:44,147,179,3.1,168,180,5:11,4:10,28,24,1.14,8.0,9.0,258,5:07,380,0.0,369,582,"5,382",-8,21.0,No,00:00:43.8,2,27.0,--,--,--,00:31:27,00:34:58,8,22
Carrera,2026-03-13 11:54:44,false,Easy Run – Las Huertas con guapos,12.55,"1,105",01:07:57,165,184,4.6,168,188,5:25,3:46,28,26,1.09,8.0,8.7,259,5:25,357,0.0,351,547,"11,542",-18,23.0,No,01:07:57,1,27.0,--,--,--,01:06:56,01:13:43,20,34
Carrera,2026-03-12 13:12:40,false,Easy Run – Rodaje,14.01,"1,128",01:10:25,163,182,4.6,169,178,5:02,3:57,32,33,1.17,7.8,9.1,256,5:02,380,0.0,379,512,"11,960",-18,25.0,No,01:10:25,1,32.0,--,--,--,01:10:06,01:18:16,11,32
Carrera,2026-03-10 19:42:30,false,Intervals – 11x1',10.01,806,00:48:28,164,191,4.4,170,182,4:51,3:37,23,20,1.21,7.6,9.2,252,4:49,411,0.0,405,549,"8,234",-13,20.0,No,00:00:14.8,27,25.0,--,--,--,00:48:15,00:50:46,6,19
Carrera,2026-03-07 15:41:24,false,Tempo Run,10.20,765,00:46:31,161,187,4.2,171,182,4:34,3:47,39,43,1.26,7.4,9.3,245,4:33,433,0.0,428,666,"8,054",-14,18.0,No,00:46:31,1,26.0,--,--,--,00:46:25,00:49:16,5,24
Carrera,2026-03-02 13:00:33,false,Moderate Run – 45’ Min,9.34,691,00:45:00,152,173,3.6,170,179,4:49,3:56,22,23,1.21,7.6,9.2,251,4:47,399,0.0,397,515,"7,734",-14,20.0,No,00:45:00,1,26.0,--,--,--,00:44:51,00:46:56,16,29
Carrera,2026-02-27 14:14:42,false,Intervals – 6x 400/300m,5.95,535,00:51:31,136,190,2.7,94,214,8:39,2:36,5,7,1.27,7.1,7.5,239,8:38,358,0.0,189,711,"5,320",-10,20.0,No,00:00:49.4,13,27.0,--,--,--,00:39:20,01:14:22,15,18
